fecha,accion,mcap,retorno,presion3,mom,vol,btm
12/2002,AESGENER,19.37982645295812,-.11538461538,0,,,
01/2003,AESGENER,19.3578475462666,-.021739130435,0,-.021739130435,,
02/2003,AESGENER,19.31238517216616,-.044444444443,0,-.066183574878,.0160550815040267,
03/2003,AESGENER,19.24006451059063,-.069767441861,0,-.135951016739,.0240260420546358,
04/2003,AESGENER,19.4013326581905,.175,0,.039048983261,.1118915972482823,
05/2003,AESGENER,19.74083979849777,.4441563455299999,0,.4832053287909999,.2170931687651099,
06/2003,AESGENER,19.77069276166317,.030303030304,0,.5135083590949999,.196053592071747,
07/2003,AESGENER,19.72557232638589,.0089222165934,0,.5441697061233999,.1813020517254396,1.0834936
08/2003,AESGENER,19.93321169115058,.23076923077,0,.8193833813363999,.1766974118821335,1.0834936
09/2003,AESGENER,20.04988299794976,.12375,0,1.0129008231974,.1655795268605366,1.0834936
10/2003,AESGENER,20.22298532475672,.18898776418,0,1.0268885873774,.1587715753237048,1.0834936
11/2003,AESGENER,20.25166542226911,.029095331649,0,.6118275734963999,.1524256289403312,1.0834936
12/2003,AESGENER,20.22867590404851,-.022727272726,5.2884380e-10,.5587972704664,.1495572644792537,1.0834936
01/2004,AESGENER,20.07947419812844,-.13860465116,,.4112704027130001,.1608295498843759,1.0834936
02/2004,AESGENER,20.20400189592918,.23557824465,,.416079416593,.161505467314004,1.0834936
03/2004,AESGENER,19.99383631297738,-.18954996186,0,.102779454733,.1761855137996946,1.0834936
04/2004,AESGENER,19.95790430373235,-.035294117647,0,-.121502427094,.1777366697092822,1.0834936
05/2004,AESGENER,20.07646896208235,.0011248549071,0,-.1494729038359,.1350811166848643,1.0834936
06/2004,AESGENER,20.14708652923902,.073170731706,0,-.0535748994039,.1354102143411753,1.0834936
07/2004,AESGENER,20.13278013359681,-.014204545454,0,.0708252063021,.1360882533802527,.2821438
08/2004,AESGENER,20.1356578334154,.0028818443807,0,-.1618711939672,.1222727465090683,.2821438
09/2004,AESGENER,20.20234920791407,.091944023286,0,.1196227911788,.1201740275856009,.2821438
10/2004,AESGENER,20.16967049002946,-.032150537634,0,.1227663711918,.1079978162576588,.2821438
11/2004,AESGENER,20.19479385627641,.025441617598,0,.1470831338827,.1079137729333198,.2821438
12/2004,AESGENER,20.28487023160207,.1287019307,0,.2026143328767,.1137366485692046,.2821438
01/2005,AESGENER,20.16955938509108,-.10891089108,0,.1079079872507,.110427081479816,.2821438
02/2005,AESGENER,20.21729078791559,.048888888889,0,.153915031759,.0872225013539214,.2821438
03/2005,AESGENER,20.20245672901486,-.014724576273,-4.6971610e-10,.0472464322,.0644260446388737,.2821438
04/2005,AESGENER,20.08254800810145,-.10142051522,0,-.022023545386,.0714607322153098,.2821438
05/2005,AESGENER,20.19695835927919,.12121212121,0,.073746958226,.0784196427426767,.2821438
06/2005,AESGENER,20.19587669341184,-.0010810810808,0,-.0560360535548,.0766139386829554,.2821438
07/2005,AESGENER,20.2288759622475,.033549783549,0,.0864246210742,.076356702537371,.2421297
08/2005,AESGENER,20.14708652923902,-.078534031413,0,-.0409982992278,.0811158971585491,.2421297
09/2005,AESGENER,20.1527522667747,.005681818182,0,-.0205919047728,.0768466989400439,.2421297
10/2005,AESGENER,20.22362660636136,.073446327684,0,.1542749381312,.0785793992841016,.2421297
11/2005,AESGENER,20.14708652923902,-.073684210526,0,-.0406213936048,.0820588053403948,.2421297
12/2005,AESGENER,20.19153829180986,.069845828266,0,.030305515742,.0753299685853019,.2421297
01/2006,AESGENER,20.1356578334154,-.054347826087,0,-.057592093894,.0697388931125996,.2421297
02/2006,AESGENER,20.14708652923902,.011494252873,0,.032436190392,.0682933557309316,.2421297
03/2006,AESGENER,20.18060922127767,.034090909092,0,.060845281302,.0688346272699681,.2421297
04/2006,AESGENER,20.60795767492104,.5775199509,.017708927,.564918904518,.1738325083077459,.2421297
05/2006,AESGENER,20.56017402812579,-.046659977064,.0046453802,.5919431379799999,.1752021175615442,.2421297
06/2006,AESGENER,20.54494703796197,-.01511164574,.00043840168,.5069856639739999,.1755908509336321,.2421297
07/2006,AESGENER,20.56009884298257,.015267175571,.00012143961,.5766006656319999,.175776314753074,.38092375
08/2006,AESGENER,20.57502449319924,.015037593987,.0031046662,.5801440067459999,.1719157456308228,.38092375
09/2006,AESGENER,20.69363023560709,.12592592592,.00045056731,.671979023574,.1725342921532787,.38092375
10/2006,AESGENER,20.72593182374343,.032828947367,.0017888417,.127288020041,.1726677571653369,.38092375
11/2006,AESGENER,20.90619167762408,.197528505,.00089854398,.3714765021050001,.1716563508632186,.38092375
12/2006,AESGENER,20.94033610757006,.058780380356,.0019643113,.445368528201,.1717472240681029,.38092375
01/2007,AESGENER,21.00728779449224,.069243818434,-.00020621131,.4993451710640001,.1666294585175894,.38092375
02/2007,AESGENER,21.06128416304081,.055480769232,-.000028293503,.5397883463090001,.1652315325444857,.38092375
03/2007,AESGENER,21.09469973221463,.033980140293,.0011425073,.447842560682,.1652351457330782,.38092375
04/2007,AESGENER,21.14244046827862,.064511513952,.00028081803,.4795251272670001,.0638011667886822,.38092375
05/2007,AESGENER,21.1420203884586,-.00041999160021,-.00010296364,.28157663066679,.0585777008817169,.38092375
06/2007,AESGENER,21.36021051528434,.24382352941,.0043194392,.4666197797207901,.0757963854218505,.38092375
07/2007,AESGENER,21.31211767240845,-.046954700538,-.00066713744,.35042126074879,.0821875037440218,-.32057443
08/2007,AESGENER,21.29376722092555,-.018183107078,-.0013765567,.2767573844387901,.0847564127320625,-.32057443
09/2007,AESGENER,21.17857108910374,-.10880866425,-.0010177181,.13396857989579,.0964627538483964,-.32057443
10/2007,AESGENER,21.1851925603164,.0066434416276,.00026189175,.07610050757139,.0971428736820086,-.32057443
11/2007,AESGENER,21.07242709660488,-.10663983903,-.0032418589,-.0301193398584,.0937191573713723,-.32057443
12/2007,AESGENER,21.01652385657063,-.05436936937,.00029815649,-.3283122386384,.0952471090876011,-.32057443
01/2008,AESGENER,20.94079865412859,-.072929071595,.0017023563,-.3542866096954,.0962519936167567,-.32057443
02/2008,AESGENER,21.00246850799593,.063611139658,.00045079357,-.2724923629594,.0967080421450134,-.32057443
03/2008,AESGENER,20.9167737869213,-.082125603865,.0016200477,-.2458093025744,.0988230825277615,-.32057443
04/2008,AESGENER,21.03385482186738,.12421052631,.0030510621,-.128242217892,.1042324049092601,-.32057443
05/2008,AESGENER,21.12237730737893,.011005201268,-.0015443035,-.010597177594,.1043236593449479,-.32057443
06/2008,AESGENER,21.00573596425292,-.11009569378,.0019504789,-.066323502004,.0735767206897515,-.32057443
07/2008,AESGENER,21.01200692142196,.0062906607873,.0014815327,.0128962303783,.0742535778167099,-.33582512
08/2008,AESGENER,20.96742886125263,-.043599059628,.00012453891,-.0943139689077,.074296596513189,-.33582512
09/2008,AESGENER,20.95624928355066,-.011117318436,-.0024304041,-.0233056834787,.0701822931066841,-.33582512
10/2008,AESGENER,20.96047738134031,.0042370487536,.0038525155,-.1432791610351,.070095064601891,-.33582512
11/2008,AESGENER,21.02179007047234,.063231323133,.091767438,-.0910530391701,.0687255641913669,-.33582512
12/2008,AESGENER,21.01935070868936,.01582010582,.0028330539,.0348627604299,.0674389048015017,-.33582512
12/2002,AGUASA,20.56137748181835,-.054693486589,.060920168,,,
01/2003,AGUASA,20.53217832712609,-.028776978418,.00088920147,-.028776978418,,
02/2003,AGUASA,20.52474334863857,-.0074074074082,.00052202865,-.0361843858262,.015110568572077,
03/2003,AGUASA,20.50970547127403,-.014925373133,.000081329272,-.0511097589592,.0108400902729451,
04/2003,AGUASA,20.69580775090789,.20454545455,.00042639792,.1534356955908,.1111439993000796,
05/2003,AGUASA,20.62411582245178,-.032300881196,.001106039,.1211348143948,.101307961417097,
06/2003,AGUASA,20.56137748181835,-.06081081081,.00032588583,.0603240035848,.0970354553562058,
07/2003,AGUASA,20.53217832712609,-.028776978417,-.000086316722,.0603240035858,.08978848895544,-.57137024
08/2003,AGUASA,20.66385615110129,.14074074074,.0067009926,.208472151734,.096074065070863,-.57137024
09/2003,AGUASA,20.76181927915856,.10292211755,-.00041325108,.326319642417,.0938744637382792,-.57137024
10/2003,AGUASA,20.87340113433355,.118045258,.0011754908,.239819445867,.0927269891963821,-.57137024
11/2003,AGUASA,20.89990310725141,.026856273131,.0017659457,.298976600194,.0880488489281024,-.57137024
12/2003,AGUASA,20.82268972655942,.067185546961,.0025357981,.426972957965,.0843674724172141,-.57137024
01/2004,AGUASA,20.73297022736069,-.085812420364,,.369937516018,.0900471312020674,-.57137024
02/2004,AGUASA,20.78019514310987,.048357774815,,.277554550093,.0890448647281864,-.57137024
03/2004,AGUASA,20.6341999415184,-.13583815028,-.00010544937,.038794282263,.1018127745431291,-.57137024
04/2004,AGUASA,20.70207736392149,.070234113713,-.00036605095,-.009016862024,.0872759997839007,-.57137024
05/2004,AGUASA,20.61726810594334,-.040477947805,.00067297736,-.07635108296,.0877456006851703,-.57137024
06/2004,AGUASA,20.73284902258824,.12252534186,.001708626,-.0210112880610001,.0886274821321141,-.57137024
07/2004,AGUASA,20.70207736392149,-.030303030302,-.00016302741,.034498102001,.0887265229712616,-1.1502545
08/2004,AGUASA,20.79168952261118,.09375,.0017150315,.079890327186,.0845097655085126,-1.1502545
09/2004,AGUASA,20.78308114801806,-.0085714285724,.00048126388,.2071570488936,.0818244485315483,-1.1502545
10/2004,AGUASA,20.64922955098779,-.057636887607,.000011439843,.0792860475736,.0784303378999705,-1.1502545
11/2004,AGUASA,20.71449988392004,-.0091743119265,.000095122457,.1105896834521,.0782427430557809,-1.1502545
12/2004,AGUASA,20.76270198573792,.049382716048,.00079320767,.0374470576401,.0770720613867806,-1.1502545
01/2005,AGUASA,20.72065374949442,-.041176470588,.001124025,.0265736173541,.0734751396752238,-1.1502545
02/2005,AGUASA,20.76152482249946,.041717791411,.0016694821,-.0254585912349,.0731439235906469,-1.1502545
03/2005,AGUASA,20.76270198573792,.0011778563002,.00021917366,-.0157093063623,.0584592331881491,-1.1502545
04/2005,AGUASA,20.62052230344616,.047058823529,.00029633622,.0889864047737,.056864049884876,-1.1502545
05/2005,AGUASA,20.87392762084815,.13240023553,.00094051572,.2305609522302,.0633325052772914,-1.1502545
06/2005,AGUASA,20.85801216552477,-.015789473684,.00031085828,.1653887624982,.056911440036726,-1.1502545
07/2005,AGUASA,20.94256955360243,.088235294117,.000014693825,.2948005272032,.0582447640943402,-1.0090952
08/2005,AGUASA,20.87917697676852,-.061425061425,-.00058298779,.1916576743672,.0592420976363096,-1.0090952
09/2005,AGUASA,20.92572079026428,.066791519144,-.00068667525,.257271337211,.0606275403502734,-1.0090952
10/2005,AGUASA,20.85801216552477,-.065467266367,-.000031980082,.144745247315,.0615753650715784,-1.0090952
11/2005,AGUASA,20.80491595217104,-.051711229946,-.00060164765,-.039366218161,.0645283021966776,-1.0090952
12/2005,AGUASA,20.84725937376599,.04325269272,.00017082611,.019675948243,.0642631443995811,-1.0090952
01/2006,AGUASA,20.84183930626112,-.0054054054062,.000081713166,-.0739647512802,.0621954601941434,-1.0090952
02/2006,AGUASA,20.84183930626112,0,.000049910399,-.0125396898552,.0619391828784507,-1.0090952
03/2006,AGUASA,20.87387498784248,.032554347827,.000063423468,-.0467768611722,.0619682922416865,-1.0090952
04/2006,AGUASA,20.9151705793987,.042160113691,.0029533035,.0608505188858,.0617719874521167,-1.0090952
05/2006,AGUASA,20.81986039957787,-.046613116696,.0014964909,.0659486321358,.0522929735533733,-1.0090952
06/2006,AGUASA,20.83911821621791,.019444444444,.00052828086,.0421403838598,.0521791773216593,-1.0090952
07/2006,AGUASA,20.84183930626112,.0027247956405,.000071252573,.0502705849065,.0451693210163519,-1.0862185
08/2006,AGUASA,20.90501820795153,.065217391304,.0013293391,.1154879762105,.0448094975565913,-1.0862185
09/2006,AGUASA,20.91567550239547,.010714285716,.00091518741,.0936479140995,.0409440991914639,-1.0862185
10/2006,AGUASA,20.89476170771729,.0025528856386,.00011770421,.0540406860471,.0346990197094339,-1.0862185
11/2006,AGUASA,21.04300395089208,.15979381443,.0013914171,.2604476171731,.0507456909067597,-1.0862185
12/2006,AGUASA,21.10754247202965,.066666666666,.0011513162,.3076698393951,.05185700229528,-1.0862185
01/2007,AGUASA,21.04300395089208,-.062499999999,.00044550342,.2424450437556,.0576152835645027,-1.0862185
02/2007,AGUASA,21.04743854798887,.0044444444447,-.00050662161,.1816720968963,.0574582935754839,-1.0862185
03/2007,AGUASA,21.07794200226739,.030973451327,-.00020517701,.2019312625073,.0574406159082498,-1.0862185
04/2007,AGUASA,21.08648906283182,.0085836909857,.000049027898,.2079620678544,.0573268193322223,-1.0862185
05/2007,AGUASA,21.05624917765644,.0084426619542,.00068952329,.0566109153786,.0534209524386783,-1.0862185
06/2007,AGUASA,21.07579377371507,.019736842105,.00011439843,.0096810908176,.0534175472959796,-1.0862185
07/2007,AGUASA,21.06498285761086,-.010752688172,.00041864841,.0614284026446,.0540989711983507,-1.323314
08/2007,AGUASA,21.0473942991873,-.017434782608,-.00010056471,.0395491755919,.0538187480430734,-1.323314
09/2007,AGUASA,21.05185356615467,.0044692243009,-.00017976896,.0130449485658,.0539302738142156,-1.323314
10/2007,AGUASA,21.07364092033988,.043816535223,.001363139,.0482777928031,.0541766882656502,-1.323314
11/2007,AGUASA,21.01309442049402,-.058749999999,.00011383968,-.0189148691501,.0376067022874073,-1.323314
12/2007,AGUASA,20.89130212204661,-.11466776571,.00012482895,-.1533194769651,.045387463729759,-1.323314
01/2008,AGUASA,20.9252209152357,.034500594838,-.000032685264,-.1080661939551,.0441920979629647,-1.323314
02/2008,AGUASA,20.9151705793987,-.010000000001,.00036166247,-.1006314113481,.0441412409349953,-1.323314
03/2008,AGUASA,20.93517124607268,.020202020201,-.00022152439,-.084898615448,.0434452442952043,-1.323314
04/2008,AGUASA,21.04304839438405,.11391089108,.00011768036,-.014804259591,.0555969798022893,-1.323314
05/2008,AGUASA,20.97401107940513,-.017952148805,-.00084981689,.025993591603,.0558744244033967,-1.323314
06/2008,AGUASA,20.90501820795153,-.066666666666,.00004059085,.073994690647,.0586795403791519,-1.323314
07/2008,AGUASA,20.9151705793987,.010204081633,-.00026435923,.049698177442,.0588566381470011,-1.0054744
08/2008,AGUASA,20.9252209152357,.010101010101,.00013958308,.069799187544,.0588587557643156,-1.0054744
09/2008,AGUASA,20.87392762084815,-.050000000001,-.00012488256,-.000402832658,.0603480570450577,-1.0054744
10/2008,AGUASA,20.80305328124302,-.040636199389,-.000065370528,-.154949923127,.0587731909330473,-1.0054744
11/2008,AGUASA,20.85801216552477,.056497175141,-.0010378032,-.080500599181,.060220296376395,-1.0054744
12/2008,AGUASA,20.78019514310987,-.074866310161,-.00072891539,-.088700242676,.0544202137754492,-1.0054744
12/2002,AGUNSA,17.09295703489887,.036421524001,,,,
01/2003,AGUNSA,,,,0,,
02/2003,AGUNSA,,,,0,,
03/2003,AGUNSA,17.09392433100703,.00096776408463,,.00096776408463,,
04/2003,AGUNSA,17.09392433100703,0,,.00096776408463,.0006843125468307,
05/2003,AGUNSA,17.26988774305794,.26231553047,,.26328329455463,.1511693471396141,
06/2003,AGUNSA,17.26988774305794,0,,.26328329455463,.1309972656142053,
07/2003,AGUNSA,17.54053362836921,.31081081081,,.57409410536463,.157715666506666,.33933184
08/2003,AGUNSA,17.78610421545881,.27835051546,,.85244462082463,.1560656518290665,.33933184
09/2003,AGUNSA,17.78610421545881,0,,.8514768567400001,.152251935173505,.33933184
10/2003,AGUNSA,17.83335710030936,.048387096775,,.899863953515,.143326217256511,.33933184
11/2003,AGUNSA,17.89322125204776,.094168930736,,.7317173537809999,.1342101529246843,.33933184
12/2003,AGUNSA,17.87109742830087,-.021880886829,,.7098364669519999,.1332851615070004,.33933184
01/2004,AGUNSA,,,,.399025656142,.1332851615070004,.33933184
02/2004,AGUNSA,,,,.120675140682,.1332851615070004,.33933184
03/2004,AGUNSA,17.78610421545881,-.081481481481,,.039193659201,.1421616896297041,.33933184
04/2004,AGUNSA,17.75331439263582,-.032258064516,,-.04145150209,.1447497072851319,.33933184
05/2004,AGUNSA,,,0,-.135620432826,.1387303021388743,.33933184
06/2004,AGUNSA,,,0,-.113739545997,.1459127007034728,.33933184
07/2004,AGUNSA,17.77000761557921,.076593799095,.000043777505,-.037145746902,.1110621912887835,-.59817171
08/2004,AGUNSA,,,0,-.037145746902,.0635577944077127,-.59817171
09/2004,AGUNSA,17.7780070052357,.0080314702518,0,.0523672048308,.0633787209037695,-.59817171
10/2004,AGUNSA,18.44646157319577,.9512195122,0,1.0358447815468,.3620580839170225,-.59817171
11/2004,AGUNSA,18.21284672201426,-.20833333333,0,.8275114482168,.3859886534946977,-.59817171
12/2004,AGUNSA,18.26414001640181,.052631578947,0,.8801430271638,.3831213334109154,-.59817171
